ID,Grupo,Estado o país,Receta,Tiempo,Porciones,Dificultad,Ingredientes principales,Foto
"R098","Internacional","Alemania","Ensalada de papa","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R099","Internacional","Reino Unido","Fish and chips casero","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R100","Internacional","Reino Unido","Scones rápidos","35 min","4 porciones","Fácil","harina | huevo | leche | mantequilla | azúcar | vainilla | canela | fruta de temporada","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R101","Internacional","Canadá","Papas con gravy y queso","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1092730/pexels-photo-1092730.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R102","Internacional","Canadá","Hot cakes con frutos rojos","35 min","4 porciones","Fácil","harina | huevo | leche | mantequilla | azúcar | vainilla | canela | fruta de temporada","https://images.pexels.com/photos/70497/pexels-photo-70497.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R103","Internacional","Chile","Pastel de choclo","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/958545/pexels-photo-958545.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R104","Internacional","Chile","Completo chileno","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1437267/pexels-photo-1437267.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R105","Internacional","Cuba","Ropa vieja sencilla","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/262978/pexels-photo-262978.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R106","Internacional","Cuba","Arroz congrí","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1640774/pexels-photo-1640774.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R107","Internacional","Vietnam","Pho casero de pollo","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/2097090/pexels-photo-2097090.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R108","Internacional","Vietnam","Rollitos frescos","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/4551971/pexels-photo-4551971.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R109","Internacional","Líbano","Hummus cremoso","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R110","Internacional","Líbano","Shawarma de pollo","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/461198/pexels-photo-461198.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R111","Internacional","Portugal","Bacalhau fácil","45 min","4 porciones","Fácil","arroz | pasta | pollo | huevo | cebolla | ajo | verduras | aceite de oliva | caldo | limón","https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=1200"
"R112","Internacional","Portugal","Pastelitos de nata versión rápida","35 min","4 porciones","Fácil","harina | huevo | leche | mantequilla | azúcar | vainilla | canela | fruta de temporada","https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&w=1200"
